"time","Reg1.wconn.F_exc"
99.8,1.463798407285039e6
99.9,1.41146806859018e6
100,1.3466141623129179e6
100.1,1.2698121193087634e6
100.2,1.1817433829609684e6
100.3,1.083189362921036e6
100.4,975024.5018759375
100.5,858208.5168589406
100.6,733777.8839445818
100.7,602836.6418817886
100.8,466546.5962620905
100.9,326117.01113832265
101,182793.87955776922
101.1,37848.86820874215
101.2,-107431.96572775794
101.3,-251759.58540936775
101.4,-393853.4116013996
101.5,-532452.6849037509
101.6,-666327.652122091
101.7,-794290.4775293249
101.8,-915205.7822049226
101.9,-1.0280007179396338e6
102,-1.1316744863221222e6
102.1,-1.2253072185479244e6
102.2,-1.3080681371619522e6
102.3,-1.3792229273181634e6
102.4,-1.4381402521530932e6
102.5,-1.4842973544639472e6
102.6,-1.5172846949894074e6
102.7,-1.5368095861387132e6
102.8,-1.5426987889280731e6
102.9,-1.534900050082493e6
103,-1.5134825656646856e6
103.1,-1.4786363671174583e6
103.2,-1.4306706351670322e6
103.3,-1.3700109565476093e6
103.4,-1.297195547887392e6
103.5,-1.2128704802606904e6
103.6,-1.1177839467770762e6
103.7,-1.012779624069949e6
103.8,-898789.1865860297
103.9,-776824.0400944744
104,-647966.347762009
104.1,-513359.4284169685
104.2,-374197.61219615326
